title,date,subtitle,url
Review of Coronavirus (COVID-19) infection survey,2020-05-14,"Ed Humpherson, Office for Statistics Regulation to Sir Ian Diamond, Office for National Statistics",https://www.statisticsauthority.gov.uk/correspondence/review-of-coronavirus-covid-19-infection-survey/
Scott Heald to Ed Humpherson: Publication of the first COVID-19 statistics weekly report by Public Health Scotland,2020-05-14,"Scott Heald, Public Health Scotland to Ed Humpherson, Office for Statistics Regulation",https://www.statisticsauthority.gov.uk/correspondence/scott-heald-to-ed-humpherson-publication-of-the-first-covid-19-statistics-weekly-report-by-public-health-scotland/
Letter from Ed Humpherson to Peter Schofield: Universal credit management information,2020-05-13,"Ed Humpherson, Office for Statistics Regulation to Peter Schofield, Department for Work and Pensions",https://www.statisticsauthority.gov.uk/correspondence/31387/
Sir David Norgrove response to Daisy Cooper MP: coronavirus testing programme,2020-05-12,"Sir David Norgrove, UK Statistics Authority to Daisy Cooper, House of Commons",https://www.statisticsauthority.gov.uk/correspondence/sir-david-norgrove-response-to-daisy-cooper-mp-coronavirus-testing-programme/
Sir David Norgrove letter to Matt Hancock regarding COVID-19 testing,2020-05-11,"Sir David Norgrove, UK Statistics Authority to Matt Hancock, Department of Health and Social Care",https://www.statisticsauthority.gov.uk/correspondence/sir-david-norgrove-letter-to-matt-hancock-regarding-covid-19-testing/
Daisy Cooper MP to Ed Humpherson: coronavirus testing programme,2020-05-07,"Daisy Cooper, House of Commons to Ed Humpherson, Office for Statistics Regulation",https://www.statisticsauthority.gov.uk/correspondence/daisy-cooper-mp-to-ed-humpherson-coronavirus-testing-programme/
Ed Humpherson to Siobhan Carey: Assessment of statistics on planning activity in Northern Ireland,2020-05-07,"Ed Humpherson, Office for Statistics Regulation to Siobhan Carey, Northern Ireland Statistics and Research Agency",https://www.statisticsauthority.gov.uk/correspondence/ed-humpherson-to-siobhan-carey-assessment-of-statistics-on-planning-activity-in-northern-ireland/
Letter to ONS regarding production of economic statistics during COVID-19,2020-05-06,"Ed Humpherson, Office for Statistics Regulation to Jonathan Athow, Office for National Statistics",https://www.statisticsauthority.gov.uk/correspondence/letter-to-ons-regarding-production-of-economic-statistics-during-covid-19/
Mark Pont to David Blunt: Proven re-offending and criminal justice system statistics,2020-05-05,"Mark Pont, Office for National Statistics to David Blunt, Ministry of Justice",https://www.statisticsauthority.gov.uk/correspondence/mark-pont-to-david-blunt-proven-re-offending-and-criminal-justice-system-statistics/
Response from Peter Schofield to Ed Humpherson – Universal credit management information,2020-05-01,"Peter Schofield, Department for Work and Pensions to Ed Humpherson, Office for Statistics Regulation",https://www.statisticsauthority.gov.uk/correspondence/31379/
"Response from Ed Humpherson OSR, to Dr Eugene Mooney, DoH NI: regarding statistical information relating to COVID-19 in Northern Ireland",2020-05-01,"Ed Humpherson, Office for Statistics Regulation to Eugene Mooney, Department of Health (Northern Ireland)",https://www.statisticsauthority.gov.uk/correspondence/response-from-ed-humpherson-osr-to-dr-eugene-mooney-doh-ni-regarding-statistical-information-relating-to-covid-19-in-northern-ireland/
Ed Humpherson to Neil McIvor: Coronavirus (COVID-19) attendance in education and early years settings,2020-05-01,"Ed Humpherson, Office for Statistics Regulation to Neil McIvor, Department for Education",https://www.statisticsauthority.gov.uk/correspondence/ed-humpherson-to-neil-mcivor-coronavirus-covid-19-attendance-in-education-and-early-years-settings/
Letter from Dr Eugene Mooney regarding statistical information relating to COVID-19 in Northern Ireland,2020-04-30,"Eugene Mooney, Northern Ireland Statistics and Research Agency to Ed Humpherson, Office for Statistics Regulation",https://www.statisticsauthority.gov.uk/correspondence/response-from-dr-eugene-mooney-regarding-statistical-information-relating-to-covid-19-in-northern-ireland/
Letter regarding statistical information relating to COVID-19 in Northern Ireland.,2020-04-30,"Ed Humpherson, Office for Statistics Regulation to Richard Pengelly, Department of Health (Northern Ireland)",https://www.statisticsauthority.gov.uk/correspondence/letter-regarding-statistical-information-relating-to-covid-19-in-northern-ireland/
Ed Humpherson to Jim Harra: Strengthening the quality of HMRC’s official statistics,2020-04-30,"Ed Humpherson, Office for Statistics Regulation to Jim Harra, HMRC",https://www.statisticsauthority.gov.uk/correspondence/ed-humpherson-to-jim-harra-strengthening-the-quality-of-hmrcs-official-statistics/
Ed Humpherson to Ruth Stanier: Strengthening the quality of HMRC’s official statistics,2020-04-30,"Ed Humpherson, Office for Statistics Regulation to Ruth Stanier, HMRC",https://www.statisticsauthority.gov.uk/correspondence/ed-humpherson-to-ruth-stanier-strengthening-the-quality-of-hmrcs-official-statistics/
Ed Humpherson to Glyn Jones: Provision in local authority settings during the Coronavirus (COVID-19) pandemic,2020-04-27,"Ed Humpherson, Office for Statistics Regulation to Glyn Jones, Welsh Government",https://www.statisticsauthority.gov.uk/correspondence/ed-humpherson-to-glyn-jones-provision-in-local-authority-settings-during-the-coronavirus-covid-19-pandemic/
Response from Ed Humpherson to Scott Heald: Publication of COVID-19 related statistics by Public Health Scotland,2020-04-24,"Ed Humpherson, Office for Statistics Regulation to Scott Heald, Public Health Scotland",https://www.statisticsauthority.gov.uk/correspondence/response-from-ed-humpherson-to-scott-heald-publication-of-covid-19-related-statistics-by-public-health-scotland/
Scott Heald to Ed Humpherson: Publication of COVID-19 related statistics by Public Health Scotland,2020-04-24,"Scott Heald, Public Health Scotland to Ed Humpherson, Office for Statistics Regulation",https://www.statisticsauthority.gov.uk/correspondence/scott-heald-to-ed-humpherson-publication-of-covid-19-related-statistics-by-public-health-scotland/
"Repsonse from Sir David Norgrove to Kirsty Williams, Education Minister, on school expenditure",2020-04-23,"Sir David Norgrove, UK Statistics Authority to Kirsty Williams AM, Welsh Government",https://www.statisticsauthority.gov.uk/correspondence/repsonse-from-sir-david-norgrove-to-kirsty-williams-education-minister-on-school-expenditure/
"Response from Ed Humpherson to Glyn Jones, Welsh Government, on school expenditure",2020-04-23,"Ed Humpherson, Office for National Statistics to Glyn Jones, Welsh Government",https://www.statisticsauthority.gov.uk/correspondence/response-from-ed-humpherson-to-glyn-jones-welsh-government-on-school-expenditure/
Ed Humpherson to Steve Ellerd-Elliot: Universal Credit Management Information,2020-04-22,"Ed Humpherson, Office for Statistics Regulation to Steve Ellerd-Elliott, Department for Work and Pensions",https://www.statisticsauthority.gov.uk/correspondence/ed-humpherson-to-steve-ellerd-elliot-universal-credit-management-information/
Exceptional pre-release access granted for NISRA weekly deaths,2020-04-22,"Siobhan Carey, NISRA to Ed Humpherson, Office for Statistics Regulation",https://www.statisticsauthority.gov.uk/correspondence/exceptional-pre-release-access-granted-for-nisra-weekly-deaths/
Ed Humpherson to Lyndsey Melbourne: Assessment of estimates of station usage,2020-04-17,"Ed Humpherson, Office for Statistics Regulation to Lyndsey Melbourne, Office of Rail and Road",https://www.statisticsauthority.gov.uk/correspondence/ed-humpherson-to-lyndsey-melbourne-assessment-of-estimates-of-station-usage/
Lyndsey Melbourne to Ed Humpherson: Requesting assessment of estimates of station usage,2020-04-17,"Lyndsey Melbourne, Office of Rail and Road to Ed Humpherson, Office for Statistics Regulation",https://www.statisticsauthority.gov.uk/correspondence/lyndsey-melbourne-to-ed-humpherson-requesting-assessment-of-estimates-of-station-usage/
RPI Consultation Extension letter from The Chancellor of the Exchequer,2020-04-16,"Rishi Sunak, HM Treasury to Sir David Norgrove, UK Statistics Authority",https://www.statisticsauthority.gov.uk/correspondence/rpi-consultation-extension-letter-from-the-chancellor-of-the-exchequer/
RPI Consultation Extension letter from Sir David Norgrove,2020-04-16,"Sir David Norgrove, UK Statistics Authority to Rishi Sunak, HM Treasury",https://www.statisticsauthority.gov.uk/correspondence/rpi-consultation-extension-letter-from-sir-david-norgrove/
Response from Siobhan Carey to Ed Humpherson: Devolved public finance statistics-Northern Ireland,2020-04-09,"Siobhan Carey, Northern Ireland Statistics and Research Agency to Ed Humpherson, Office for Statistics Regulation",https://www.statisticsauthority.gov.uk/correspondence/response-from-siobhan-carey-to-ed-humpherson-devolved-public-finance-statistics-northern-ireland/
"Rapid Review of Coronavirus, the UK economy and society, faster indicators",2020-04-09,"Ed Humpherson, Office for Statistics Regulation to Sir Ian Diamond, Office for National Statistics",https://www.statisticsauthority.gov.uk/correspondence/rapid-review-of-coronavirus-the-uk-economy-and-society-faster-indicators/
Temporary suspension of Northern Ireland travel and tourism statistics,2020-04-08,"Ed Humpherson, Office for Statistics Regulation to Siobhan Carey, Northern Ireland Statistics and Research Agency",https://www.statisticsauthority.gov.uk/correspondence/temporary-suspension-of-northern-ireland-travel-and-tourism-statistics/
Request to temporarily suspend Northern Ireland travel and tourism statistics,2020-04-08,"Siobhan Carey, Northern Ireland Statistics and Research Agency to Ed Humpherson, Office for Statistics Regulation",https://www.statisticsauthority.gov.uk/correspondence/request-to-temporarily-suspend-northern-ireland-travel-and-tourism-statistics/
Temporary exemption from Code of Practice for National Records of Scotland,2020-04-07,"Ed Humpherson, Office for Statistics Regulation to Pete Whitehouse, National Records of Scotland",https://www.statisticsauthority.gov.uk/correspondence/temporary-exemption-from-code-of-practice-for-national-records-of-scotland/
Rapid review of ONS Opinions and Lifestyle Survey COVID-19 questions,2020-04-07,"Ed Humpherson, Office for Statistics Regulation to Sir Ian Diamond, Office for National Statistics",https://www.statisticsauthority.gov.uk/correspondence/rapid-review-of-ons-opinions-and-lifestyle-survey-covid-19-questions/
Compliance Check of Rural Scotland Key Facts,2020-04-03,"Mark Pont, Office for Statistics Regulation to Roger Halliday, Scottish Government",https://www.statisticsauthority.gov.uk/correspondence/compliance-check-of-rural-scotland-key-facts/
Temporary exemption from Code of Practice for HM Treasury market sensitive data,2020-04-02,"Ed Humpherson, Office for Statistics Regulation to Tom Orford, HM Treasury",https://www.statisticsauthority.gov.uk/correspondence/temporary-exemption-from-code-of-practice-for-hm-treasury-market-sensitive-data/
Public Health Scotland Launch,2020-04-01,"Ed Humpherson, Office for Statistics Regulation to Scott Heald, Public Health Scotland",https://www.statisticsauthority.gov.uk/correspondence/public-health-scotland-launch/
Temporary exemption from Code of Practice for NISRA market sensitive publications,2020-03-27,"Ed Humpherson, Office for Statistics Regulation to Siobhan Carey, Northern Ireland Statistics and Research Agency",https://www.statisticsauthority.gov.uk/correspondence/temporary-exemption-from-code-of-practice-for-nisra-market-sensitive-publications/
NISRA request to temporary change to timing of key Northern Irish economic statistics,2020-03-27,"Siobhan Carey, Northern Ireland Statistics and Research Agency to Ed Humpherson, Office for Statistics Regulation",https://www.statisticsauthority.gov.uk/correspondence/nisra-request-to-temporary-change-to-timing-of-key-northern-irish-economic-statistics/
Temporary exemption from Code of Practice for Welsh Government market sensitive publications,2020-03-27,"Ed Humpherson, Office for Statistics Regulation to Glyn Jones, Welsh Government",https://www.statisticsauthority.gov.uk/correspondence/temporary-exemption-from-code-of-practice-for-welsh-government-market-sensitive-publications/
Welsh Government request to temporary change to timing of key Welsh economic statistics,2020-03-27,"Glyn Jones, Welsh Government to Ed Humpherson, Office for Statistics Regulation",https://www.statisticsauthority.gov.uk/correspondence/welsh-government-request-to-temporary-change-to-timing-of-key-welsh-economic-statistics/
Temporary exemption from Code of Practice for Scottish Government market sensitive publications,2020-03-27,"Ed Humpherson, Office for Statistics Regulation to Roger Halliday, Scottish Government",https://www.statisticsauthority.gov.uk/correspondence/temporary-exemption-from-code-of-practice-for-scottish-government-market-sensitive-publications/
Scottish Government request to temporary change to timing of key Scottish economic statistics,2020-03-27,"Roger Halliday, Scottish Government to Ed Humpherson, Office for Statistics Regulation",https://www.statisticsauthority.gov.uk/correspondence/scottish-government-request-to-temporary-change-to-timing-of-key-scottish-economic-statistics/
Review of DfE Experimental School Funding Statistics,2020-03-27,"Ed Humpherson, Office for Statistics Regulation to Neil McIvor, Department for Education",https://www.statisticsauthority.gov.uk/correspondence/review-of-dfe-experimental-school-funding-statistics/
Assessment of the UK employment and jobs statistics,2020-03-26,"Ed Humpherson, Office for Statistics Regulation to Jonathan Athow, Office for National Statistics",https://www.statisticsauthority.gov.uk/correspondence/assessment-of-the-uk-employment-and-jobs-statistics/
Devolved Labour Market Compliance Check,2020-03-26,"Mark Pont, Office for Statistics Regulation to Siobhan Carey, David Freeman, Roger Halliday, Glyn Jones, Northern Ireland Statistics and Research Agency",https://www.statisticsauthority.gov.uk/correspondence/devolved-labour-market-compliance-check/
Compliance Check of Timber Price Indices,2020-03-25,"Mark Pont, Office for Statistics Regulation to Sheila Ward, Forest Research",https://www.statisticsauthority.gov.uk/correspondence/compliance-check-of-timber-price-indices/
Ed Humpherson letter to Sir Ian Diamond regarding changes to publishing times for market sensitive releases,2020-03-24,"Ed Humpherson, Office for Statistics Regulation to Sir Ian Diamond, Office for National Statistics",https://www.statisticsauthority.gov.uk/correspondence/ed-humpherson-letter-to-sir-ian-diamond-athow-regarding-changes-to-publishing-times-for-market-sensitive-releases/
Sir Ian Diamond letter to Ed Humpherson regarding changes to statistical production and publication as a result of COVID-19,2020-03-24,"Sir Ian Diamond, Office for National Statistics to Ed Humpherson, Office for Statistics Regulation",https://www.statisticsauthority.gov.uk/correspondence/sir-ian-diamond-to-ed-humperson-regarding-changes-to-statistical-production-and-publication-as-a-result-of-covid-19/
Response regarding Transport Scotland press release on Aberdeen bypass,2020-03-12,"Sir David Norgrove, UK Statistics Authority to Lewis Macdonald, The Scottish Parliament",https://www.statisticsauthority.gov.uk/correspondence/response-regarding-transport-scotland-press-release-on-aberdeen-bypass/
Sir David Norgrove letter to Lord Forsyth regarding the launch of a consultation on reform to the methodology of the Retail Prices Index (RPI),2020-03-11,"Sir David Norgrove, UK Statistics Authority to The Rt Hon the Lord Forsyth of Drumlean, House of Lords",https://www.statisticsauthority.gov.uk/correspondence/sir-david-norgrove-letter-to-lord-forsyth-regarding-the-launch-of-a-consultation-on-reform-to-the-methodology-of-the-retail-prices-index-rpi/
Compliance Check of NHS Digital’s Mental Health Act Statistics,2020-03-11,"Mark Pont, Office for Statistics Regulation to Chris Roebuck, NHS Digital",https://www.statisticsauthority.gov.uk/correspondence/compliance-check-of-nhs-digitals-mental-health-act-statistics/
Response to John Healey MP regarding rough sleeping statistics,2020-03-10,"Sir David Norgrove, UK Statistics Authority to Rt Hon John Healey MP, House of Commons",https://www.statisticsauthority.gov.uk/correspondence/sir-david-norgrove-to-john-healey-mp/
Designation for Northern Ireland motoring offence statistics,2020-03-10,"Ed Humpherson, Office for Statistics Regulation to Senior Statistician, Police Service of Northern Ireland",https://www.statisticsauthority.gov.uk/correspondence/designation-for-northern-ireland-motoring-offence-statistics/
Ed Humperson to Nina Monckton: Assessment of Prescription Cost Analysis,2020-03-09,"Ed Humpherson, Office for Statistics Regulation to Nina Monckton, NHS Business Services Authority (NHSBSA)",https://www.statisticsauthority.gov.uk/correspondence/29939/
Nina Monckton to Ed Humperson: Requesting assessment of the prescription cost analysis,2020-03-09,"Nina Monckton, NHS Business Services Authority (NHSBSA) to Ed Humpherson, Office for Statistics Regulation",https://www.statisticsauthority.gov.uk/correspondence/nina-monckton-to-ed-humperson-requesting-assessment-of-the-prescription-cost-analysis/
Compliance check of NHS Digital’s Recorded Dementia Diagnoses Statistics,2020-03-06,"Mark Pont, Office for Statistics Regulation to Chris Roebuck, NHS Digital",https://www.statisticsauthority.gov.uk/correspondence/compliance-check-of-nhs-digitals-recorded-dementia-diagnoses-statistics/
Compliance check of NHS Digital’s Recorded Dementia Diagnoses Statistics,2020-03-06,"Mark Pont, Office for Statistics Regulation to Chris Roebuck, NHS Digital",https://www.statisticsauthority.gov.uk/correspondence/compliance-check-of-nhs-digitals-recorded-dementia-diagnoses-statistics-2/
"Ed Humpherson to Neil McIvor, DfE regarding the Higher Education Initial Participation Rate (HEIPR)",2020-03-05,"Ed Humpherson, Office for Statistics Regulation to Neil McIvor, Department for Education",https://www.statisticsauthority.gov.uk/correspondence/ed-humpherson-to-neil-mcivor-dfe-regarding-the-higher-education-initial-participation-rate-heipr/
Police Recorded Injury Road Traffic Collisions and Casualties Northern Ireland statistics,2020-03-03,"Mark Pont, Office for Statistics Regulation to Head of Statistics Branch, Police Service of Northern Ireland",https://www.statisticsauthority.gov.uk/correspondence/police-recorded-injury-road-traffic-collisions-and-casualties-northern-ireland-statistics/
Northern Ireland Road Safety Strategy 2020 statistics,2020-03-03,"Mark Pont, Office for Statistics Regulation to Michael Thompson, Department for Infrastructure (Northern Ireland)",https://www.statisticsauthority.gov.uk/correspondence/northern-ireland-road-safety-strategy-2020-statistics/
Response on General Ophthalmic Workforce statistics,2020-03-03,"Ed Humpherson, Office for Statistics Regulation to Chris Roebuck, NHS Digital",https://www.statisticsauthority.gov.uk/correspondence/response-on-general-ophthalmic-workforce-statistics/
Police Recorded Road Accidents statistics,2020-03-03,"Mark Pont, Office for Statistics Regulation to Glyn Jones, Welsh Government",https://www.statisticsauthority.gov.uk/correspondence/police-recorded-road-accidents-statistics/
Statistics on Reported Road Casualties in Scotland,2020-03-03,"Mark Pont, Office for Statistics Regulation to Roger Halliday, Scottish Government",https://www.statisticsauthority.gov.uk/correspondence/statistics-reported-road-casualties-scotland/
Devolved Public Finance Statistics Welsh Government,2020-03-02,"Glyn Jones,  to Ed Humpherson, Office for Statistics Regulation",https://www.statisticsauthority.gov.uk/correspondence/devolved-public-finance-statistics-welsh-government/
Letter from Rt Hon John Healey MP to Sir David Norgrove regarding Rough Sleeping,2020-02-26,"Rt Hon John Healey MP, House of Commons to Sir David Norgrove, UK Statistics Authority",https://www.statisticsauthority.gov.uk/correspondence/letter-from-rt-hon-john-healey-mp-to-sir-david-norgrove-regarding-rough-sleeping/
The future delivery of social care in Scotland – OSR inquiry submission,2020-02-20,"Ed Humpherson, Office for Statistics Regulation to Lewis Macdonald MSP, Scottish Parliament",https://www.statisticsauthority.gov.uk/correspondence/letter-from-ed-humperson-to-scottish-parliament/
Adult Social Care statistics in Scotland report,2020-02-20,"Ed Humpherson, Office for Statistics Regulation to Scott Heald, ISD Scotland Anita Morrison, Scottish Government Mike Docherty, Scottish Social Services Council Ingrid Gilray, Care Inspectorate",https://www.statisticsauthority.gov.uk/correspondence/letter-from-ed-humperson-to-isd-scotland-scottish-government-scottish-social-services-and-care-inspectorate/
Transport Scotland press release on Aberdeen bypass,2020-02-20,"Lewis Macdonald, Scottish Parliament to Ed Humpherson, Office for Statistics Regulation",https://www.statisticsauthority.gov.uk/correspondence/transport-scotland-press-release-on-aberdeen-bypass/
General Ophthalmic Workforce statistics,2020-02-19,"Chris Roebuck, NHS Digital to Ed Humpherson, Office for Statistics Regulation",https://www.statisticsauthority.gov.uk/correspondence/general-ophthalmic-workforce-statistics/
Compliance Check of Civil Service Statistics,2020-02-19,"Mark Pont, Office for Statistics Regulation to Martin Stopher, Cabinet Office",https://www.statisticsauthority.gov.uk/correspondence/compliance-check-of-civil-service-statistics/
Business Investment in the UK statistics,2020-02-17,"Mark Pont, Office for Statistics Regulation to Grant Fitzner, Office for National Statistics",https://www.statisticsauthority.gov.uk/correspondence/business-investment-in-the-uk-statistics/
Care Home Census for Adults in Scotland Statistics,2020-02-14,"Ed Humpherson, Office for Statistics Regulation to Scott Heald, Information Services Division, NHS Scotland",https://www.statisticsauthority.gov.uk/correspondence/29624/
Care Home Census Publications,2020-02-14,"Scott Heald, Information Services Division, NHS Scotland to Ed Humpherson, Office for Statistics Regulation",https://www.statisticsauthority.gov.uk/correspondence/care-home-census-publications/
Response from NHS Digital on Adult Social Care in England,2020-02-12,"Chris Roebuck, NHS Digital to Mary Gregory, Office for Statistics Regulation",https://www.statisticsauthority.gov.uk/correspondence/response-from-nhs-digital-on-adult-social-care-in-england/
Home Office statistics on Police Workforce and Police Powers and Procedures,2020-02-07,"Mark Pont, Office for Statistics Regulation to John Flatley, Home Office",https://www.statisticsauthority.gov.uk/correspondence/home-office-statistics-on-police-workforce-and-police-powers-and-procedures/
"Response on Statement on Universal Credit (PMQs, 22 January 2020)",2020-02-04,"Sir David Norgrove, UK Statistics Authority to Margaret Greenwood MP, House of Commons",https://www.statisticsauthority.gov.uk/correspondence/response-on-statement-on-universal-credit-pmqs-22-january-2020/
OSR Review of approaches to addressing weaknesses in the RPI,2020-02-04, to,https://www.statisticsauthority.gov.uk/correspondence/osr-review-of-approaches-to-addressing-weaknesses-in-the-rpi/
Reply to RPI CPI User Group – Authority’s response to ‘Measuring Inflation’ inquiry,2020-02-03,"Sir David Norgrove, UK Statistics Authority to Tony Cox, RPI CPI User Group",https://www.statisticsauthority.gov.uk/correspondence/reply-to-rpi-cpi-user-group-authoritys-response-to-measuring-inflation-inquiry/
Response on use of statistics on school expenditure in Wales,2020-01-31,"Sir David Norgrove, UK Statistics Authority to Kirsty Williams AM, Welsh Government",https://www.statisticsauthority.gov.uk/correspondence/sir-david-norgrove-to-kirsty-williams-am/
Compliance Check of Subnational Population Projections,2020-01-28,"Mark Pont, Office for Statistics Regulation to Iain Bell, Pete Whitehouse, Glyn Jones, Dr David Marshall, National Records of Scotland",https://www.statisticsauthority.gov.uk/correspondence/compliance-check-of-subnational-population-projections/
"Recruitment of 20,000 additional police officers in England and Wales",2020-01-28,"John Flatley, Home Office to Ed Humpherson, Office for Statistics Regulation",https://www.statisticsauthority.gov.uk/correspondence/recruitment-of-20000-additional-police-officers-in-england-and-wales/
"Statement on Universal Credit (PMQs, 22 January 2020)",2020-01-24,"Margaret Greenwood MP, House of Commons to Sir David Norgrove, UK Statistics Authority",https://www.statisticsauthority.gov.uk/correspondence/statement-on-universal-credit-pmqs-22-january-2020/
Compliance check of Adult Social Care Productivity Statistics,2020-01-21,"Mark Pont, Office for Statistics Regulation to Hugh Stickland, Office for National Statistics",https://www.statisticsauthority.gov.uk/correspondence/compliance-check-of-adult-social-care-productivity-statistics/
"Adult Social Care Statistics in England Report – Letter to Chris Roebuck, NHS Digital",2020-01-16,"Mary Gregory, Office for Statistics Regulation to Chris Roebuck, NHS Digital",https://www.statisticsauthority.gov.uk/correspondence/mary-gregory-to-chris-roebuck/
"Adult Social Care Statistics in England Report – Letter to Sandra Tudor, MHCLG",2020-01-16,"Mary Gregory, Office for Statistics Regulation to Sandra Tudor, Ministry of Housing, Communities and Local Government",https://www.statisticsauthority.gov.uk/correspondence/mary-gregory-to-sandra-tudor/
"Adult Social Care Statistics in England Report – Letter to Mark Svenson, NHS England",2020-01-16,"Mary Gregory, Office for National Statistics to Mark Svenson, NHS England",https://www.statisticsauthority.gov.uk/correspondence/mary-gregory-to-mark-svenson/
"Adult Social Care Statistics in England Report – Letter to Iain Bell, ONS",2020-01-16,"Mary Gregory, Office for Statistics Regulation to Iain Bell, Office for National Statistics",https://www.statisticsauthority.gov.uk/correspondence/mary-gregory-to-iain-bell/
Consultation on the Retail Prices Index (RPI),2020-01-13,"Sir David Norgrove, UK Statistics Authority to The Rt Hon the Lord Forsyth of Drumlean, Lords' Economic Affairs Committee",https://www.statisticsauthority.gov.uk/correspondence/consultation-on-the-retail-prices-index-rpi/
Assessment of National Rail Passenger Survey statistics,2020-01-08,"Ed Humpherson, Office for Statistics Regulation to Louise Coward, Transport Focus",https://www.statisticsauthority.gov.uk/correspondence/assessment-of-national-rail-passenger-survey-statistics/
Compliance Check: Monitor of Engagement with the Natural Environment (MENE) Statistics,2020-01-07,"Mark Pont, Office for Statistics Regulation to Ken Roy, Department for Environment, Food and Rural Affairs",https://www.statisticsauthority.gov.uk/correspondence/compliance-check-monitor-of-engagement-with-the-natural-environment-mene-statistics/
OBR Statement of Data Needs,2019-12-20,"Steve Farrington, Office for Budget Responsibility to Ed Humpherson, Office for Statistics Regulation",https://www.statisticsauthority.gov.uk/correspondence/obr-statement-of-data-needs/
OSR Review of the Public Value of Devolved Public Finance statistics – Chief Statistician’s Response,2019-12-20,"Roger Halliday, Scottish Government to Ed Humpherson, Office for Statistics Regulation",https://www.statisticsauthority.gov.uk/correspondence/osr-review-of-the-public-value-of-devolved-public-finance-statistics-chief-statisticians-response/
Compliance Check on HMRC Measuring Tax Gaps statistics – Response,2019-12-20,"Mark Pont, Office for Statistics Regulation to Anthony Burke, HM Revenue and Customs",https://www.statisticsauthority.gov.uk/correspondence/compliance-check-on-hmrc-measuring-tax-gaps-statistics-response/
Compliance Check on HMRC Measuring Tax Gaps statistics – Update,2019-12-20,"Anthony Burke, HM Revenue and Customs to Mark Pont, Office for Statistics Regulation",https://www.statisticsauthority.gov.uk/correspondence/compliance-check-on-hmrc-measuring-tax-gaps-statistics-update/
Voluntary Adoption of the Code of Practice – Block Grant Transparency statistics,2019-12-19,"Ed Humpherson, Office for Statistics Regulation to Tom Orford, HM Treasury",https://www.statisticsauthority.gov.uk/correspondence/voluntary-adoption-of-the-code-of-practice-block-grant-transparency-statistics/
